contract_id,slither_ok,slither_error,regex_owner_withdraw,regex_emergency_withdraw,regex_unrestricted_mint,slither_high_count,slither_arbitrary_send,slither_suicidal,slither_unchecked_lowlevel,slither_controlled_delegatecall,slither_delegatecall_loop,slither_ownerish_any,owner_withdraw,emergency_withdraw,unrestricted_mint
contract_001,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_002,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_003,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_004,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_005,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,1,1
contract_006,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_007,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_008,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_009,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_010,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_011,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_012,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,1,0
contract_013,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_014,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,1,0,0,0,0,0,0,0,0,0,1
contract_015,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_016,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_017,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
contract_018,0,"no_json:C:\Python314\python.exe: No module named slither
",0,0,0,0,0,0,0,0,0,0,0,0,0
