contract_id,final_label,owner_withdraw,emergency_withdraw,unrestricted_mint,regex_owner_withdraw,regex_emergency_withdraw,regex_unrestricted_mint,slither_ok,slither_high_count,slither_arbitrary_send,slither_suicidal,slither_unchecked_lowlevel,slither_controlled_delegatecall,slither_delegatecall_loop,slither_ownerish_any
contract_001,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_002,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_003,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_004,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_005,rugpull,0,1,1,0,0,1,0,0,0,0,0,0,0,0
contract_006,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_007,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_008,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_009,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_010,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_011,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_012,rugpull,0,1,0,0,0,0,0,0,0,0,0,0,0,0
contract_013,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_014,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_015,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_016,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_017,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_018,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_019,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_020,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_021,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_022,safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contract_023,rugpull,0,0,1,0,0,1,0,0,0,0,0,0,0,0
contract_024,rugpull,0,0,0,0,0,0,0,0,0,0,0,0,0,0
