address,target,target_label,sol_path,owner_withdraw,emergency_withdraw,unrestricted_mint,regex_owner_withdraw,regex_emergency_withdraw,regex_unrestricted_mint,slither_ok,slither_high_count,slither_arbitrary_send,slither_suicidal,slither_unchecked_lowlevel,slither_controlled_delegatecall,slither_delegatecall_loop,slither_ownerish_any
0xe77d19f2b9cda69616d01e610595abc83725d3ce,0,safe,raw_data/0xe77d19f2b9cda69616d01e610595abc83725d3ce/UserWallet.sol,1,0,0,0,0,0,1,1,0,0,0,1,0,1
0x8cf40b491c6ecce6ad869e2bff907ca2deac2608,0,safe,raw_data/0x8cf40b491c6ecce6ad869e2bff907ca2deac2608/UserWallet.sol,1,0,0,0,0,0,1,1,0,0,0,1,0,1
0x98f777fb9139576902bf7f35956ca015ddc1569f,1,rugpull,raw_data/0x98f777fb9139576902bf7f35956ca015ddc1569f/ETJ.sol,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0x00819c26fbd1c7b70b3270567a55af46d5ea5b08,1,rugpull,raw_data/0x00819c26fbd1c7b70b3270567a55af46d5ea5b08/Connective_DAO.sol,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,1,rugpull,raw_data/0xc7c03b8a3fc5719066e185ea616e87b88eba44a3/EligmaTokenContract.sol,0,0,1,0,0,1,1,1,0,0,0,0,0,0
0xd4c435f5b09f855c3317c8524cb1f586e42795fa,1,rugpull,raw_data/0xd4c435f5b09f855c3317c8524cb1f586e42795fa/CND.sol,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0x628d24dc82bd75259297438ef4c5284ecf43df27,1,rugpull,raw_data/0x628d24dc82bd75259297438ef4c5284ecf43df27/Ti.sol,1,0,0,0,0,0,1,2,1,0,0,0,0,1
0xe8c28f284c75f826bef3198b239ac6f34907bf5d,1,rugpull,raw_data/0xe8c28f284c75f826bef3198b239ac6f34907bf5d/NyanInu.sol,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0x25febd7c860b50c79dd38815a451b08f74b7cee5,1,rugpull,raw_data/0x25febd7c860b50c79dd38815a451b08f74b7cee5/CommunityNoTax.sol,0,0,1,0,0,1,1,1,0,0,0,0,0,0
0xbd53a4db4003c59070abbfa4e6c31afbf0b26843,1,rugpull,raw_data/0xbd53a4db4003c59070abbfa4e6c31afbf0b26843/ETH_QUIZ.sol,0,0,0,0,0,0,1,0,0,0,0,0,0,0
