contract_id,address,label_master_binary,pilot_dir,code_sol
contract_001,0xc51f4c8f688ca467db6d9559d102cfd15dc02f79,0,pilot_data\contract_001,pilot_data\contract_001\code.sol
contract_002,0x2c694809a5115ed74f98ebb91e4687883610b0c9,0,pilot_data\contract_002,pilot_data\contract_002\code.sol
contract_003,0x4b8ea3678418c359d8546f86a6a83de03e1a0357,0,pilot_data\contract_003,pilot_data\contract_003\code.sol
contract_004,0xa610723ada7889825bbb6e76dd9155b6ee0b8905,1,pilot_data\contract_004,pilot_data\contract_004\code.sol
contract_005,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,1,pilot_data\contract_005,pilot_data\contract_005\code.sol
contract_006,0x4876bca6feab4243e4370bddc92f5a8364de9df9,1,pilot_data\contract_006,pilot_data\contract_006\code.sol
contract_007,0xeed0e4ff307342058e7e445113586828ee52dd48,1,pilot_data\contract_007,pilot_data\contract_007\code.sol
contract_008,0x5bdb5940bb37a1d94e193ce45b7d0a44ac42ef22,0,pilot_data\contract_008,pilot_data\contract_008\code.sol
contract_009,0x4c4cf18f5e8a2201fcb10af507d3a6e39d443694,1,pilot_data\contract_009,pilot_data\contract_009\code.sol
contract_010,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,1,pilot_data\contract_010,pilot_data\contract_010\code.sol
contract_011,0x15e9fadb5962a0cb774bf759183d739f50d1697b,1,pilot_data\contract_011,pilot_data\contract_011\code.sol
contract_012,0x3f3c4047ad966abbaa08082e32c6932c145c36d0,1,pilot_data\contract_012,pilot_data\contract_012\code.sol
contract_013,0x2bf0579be35f7b08feec168bc8d8e998cbcc8e45,0,pilot_data\contract_013,pilot_data\contract_013\code.sol
contract_014,0x4768819da48e883c425031e9a0ff9d9e9b419f4c,1,pilot_data\contract_014,pilot_data\contract_014\code.sol
contract_015,0x32f8dc774cf9e519f2c66675a03782053734cce8,0,pilot_data\contract_015,pilot_data\contract_015\code.sol
contract_016,0x3bafb3af16203c817ee9208c6b8a748398dae689,1,pilot_data\contract_016,pilot_data\contract_016\code.sol
contract_017,0x13b25c3eb5e0805bfc464647f75a5fe0eedf6f7b,0,pilot_data\contract_017,pilot_data\contract_017\code.sol
contract_018,0xb2625bd7a011af8004737cb7134a52c565f99340,0,pilot_data\contract_018,pilot_data\contract_018\code.sol
contract_019,0x7bf94a9a0000b264925316cc80dbc776f83f2a70,1,pilot_data\contract_019,pilot_data\contract_019\code.sol
contract_020,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,1,pilot_data\contract_020,pilot_data\contract_020\code.sol
contract_021,0x40139eb40080a1c2bcd2e08f17e175a7d1353b7c,0,pilot_data\contract_021,pilot_data\contract_021\code.sol
contract_022,0x6aec2689003409d90bf3d8b6f14931cb30954e9c,0,pilot_data\contract_022,pilot_data\contract_022\code.sol
contract_023,0xa14a081e6747776354640610f05f71350c87b9c3,1,pilot_data\contract_023,pilot_data\contract_023\code.sol
contract_024,0x891e3f84f172b55bfb7f0abfbdcc9ea9ae0196fd,1,pilot_data\contract_024,pilot_data\contract_024\code.sol
contract_025,0x0ddeb5de614e48add3e28faa4e198d559d789388,0,pilot_data\contract_025,pilot_data\contract_025\code.sol
contract_026,0x17018814985480262eb48e26b3e78c226966b405,1,pilot_data\contract_026,pilot_data\contract_026\code.sol
contract_027,0xadccea0b14d26d786b99cf3ba3e9812cd4d23a81,1,pilot_data\contract_027,pilot_data\contract_027\code.sol
contract_028,0xfa9dfb672d15ac701187f1f7f18f0a2251a88019,0,pilot_data\contract_028,pilot_data\contract_028\code.sol
contract_029,0xcb9a1969747bec55c4ff9474bc6da33117f81558,1,pilot_data\contract_029,pilot_data\contract_029\code.sol
contract_030,0x0d71ed24406d24aece0159b1688354eecd2a6a09,0,pilot_data\contract_030,pilot_data\contract_030\code.sol
contract_031,0xac3f60f344c9a5647ef4b306ef209e575bfa572b,1,pilot_data\contract_031,pilot_data\contract_031\code.sol
contract_032,0x9272d147b49bb8f03d381333047a6ce9595e89fa,1,pilot_data\contract_032,pilot_data\contract_032\code.sol
contract_033,0x977344511012380d404f5c939f8d8ca210c8b8a8,0,pilot_data\contract_033,pilot_data\contract_033\code.sol
contract_034,0x5d64d850c8368008afb39224e92ad0dceff3cf38,1,pilot_data\contract_034,pilot_data\contract_034\code.sol
contract_035,0xa451acbb54a83c1fd6f3c3062bbf8541a00a9229,0,pilot_data\contract_035,pilot_data\contract_035\code.sol
contract_036,0x30f99c0bf62d43901703d1d3476364d35aa1d647,1,pilot_data\contract_036,pilot_data\contract_036\code.sol
contract_037,0x0549e9867f68079414f760caa04f949c16fb457c,0,pilot_data\contract_037,pilot_data\contract_037\code.sol
contract_038,0x93d63ee29e2208d6eee1bb344ecdf55bf05c9318,0,pilot_data\contract_038,pilot_data\contract_038\code.sol
contract_039,0x52e02c7c7b7a6ab76245ad1a0f9a38d7c50fb3fb,1,pilot_data\contract_039,pilot_data\contract_039\code.sol
contract_040,0xe19ca313512e0231340e778abe7110401c737c23,1,pilot_data\contract_040,pilot_data\contract_040\code.sol
contract_041,0xffcb27092c88458ae2a1fa0c69eb92eaf7aa064d,1,pilot_data\contract_041,pilot_data\contract_041\code.sol
contract_042,0xb7528b8930003666037bc67024577d8bdb192bf1,1,pilot_data\contract_042,pilot_data\contract_042\code.sol
contract_043,0xdb5c9b5a9b8fa9ee9643fe96f88b7f813f895eb0,1,pilot_data\contract_043,pilot_data\contract_043\code.sol
contract_044,0x7ec114281059009426d8464c49563cfeeff7372a,0,pilot_data\contract_044,pilot_data\contract_044\code.sol
contract_045,0xa8f69569cd82fa32128dc97eeca471448596d075,1,pilot_data\contract_045,pilot_data\contract_045\code.sol
contract_046,0xfbc81d9756c179ad3bb316e262abe5d4f5e587ab,1,pilot_data\contract_046,pilot_data\contract_046\code.sol
contract_047,0x1089a933afb52a8faf89064c7dd8109f254df518,0,pilot_data\contract_047,pilot_data\contract_047\code.sol
contract_048,0x6efa299eb78161aca289f97b5410b343cce38c05,1,pilot_data\contract_048,pilot_data\contract_048\code.sol
contract_049,0x822bdc2d0fc244f8b0614a55fd8fee32bd958703,0,pilot_data\contract_049,pilot_data\contract_049\code.sol
contract_050,0x64e57b5a16998874bd93d317e659da96e868ddcc,1,pilot_data\contract_050,pilot_data\contract_050\code.sol
contract_051,0xf33277f6c5310bc926b03b8bdab79dcbcb7fda9e,1,pilot_data\contract_051,pilot_data\contract_051\code.sol
contract_052,0xdf233adb100f98022489b20926deb2286583bd14,1,pilot_data\contract_052,pilot_data\contract_052\code.sol
contract_053,0x6aca3926832968122cd6f4163b21cfb3542b6dd1,1,pilot_data\contract_053,pilot_data\contract_053\code.sol
contract_054,0x7752de3d528cb4228c6bd830a33a169c3c4609f8,1,pilot_data\contract_054,pilot_data\contract_054\code.sol
contract_055,0x4488f24ca1d5d35878d143678560f791981211b9,1,pilot_data\contract_055,pilot_data\contract_055\code.sol
contract_056,0x5f16e490dc6ccb78ab08413a06985e1e22243a75,0,pilot_data\contract_056,pilot_data\contract_056\code.sol
contract_057,0xf3639fb3e390c1ea1fa4aa504a7c8e927d119ce9,1,pilot_data\contract_057,pilot_data\contract_057\code.sol
